FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
A,IN,B,XDC,INR,B,1998,3039.76
A,IN,B,XDC,INR,B,1999,3319.66
A,IN,B,XDC,INR,B,2000,3664.86
A,IN,B,XDC,INR,B,2001,4097.47
A,IN,B,XDC,INR,B,2002,4627.8
A,IN,B,XDC,INR,B,2003,5219.45
A,IN,B,XDC,INR,B,2004,6600.74
A,IN,B,XDC,INR,B,2005,7314.88
A,IN,B,XDC,INR,B,2006,9007.12
A,IN,B,XDC,INR,B,2007,11954.07
A,IN,B,XDC,INR,B,2008,13322.66
A,IN,B,XDC,INR,B,2009,14889.53
A,IN,B,XDC,INR,B,2010,16717.87
A,IN,B,XDC,INR,B,2011,20093.97
A,IN,B,XDC,INR,B,2012,22593.04
A,IN,B,XDC,INR,B,2013,25548.86
A,IN,B,XDC,INR,B,2014,26470.64
A,IN,B,XDC,INR,B,2015,30733.78
A,IN,B,XDC,INR,B,2016,32556.83
A,IN,B,XDC,INR,B,2017,33796.37
A,IN,B,XDC,INR,B,2018,37602.88
A,IN,B,XDC,INR,B,2019,43022.57
A,IN,B,XDC,INR,B,2020,56885.18
A,IN,B,XDC,INR,B,2021,62642.48
A,IN,B,XDC,INR,B,2022,61486.66
A,IN,B,XDC,INR,B,2023,67935.59
A,IN,B,XDC,INR,B,2024,69627.59
A,IN,B,XDC,INR,B,2025,82835.3426
M,IN,B,USD,_Z,B,1957-01,3.7220480681102
M,IN,B,USD,_Z,B,1957-02,3.8223615477673
M,IN,B,USD,_Z,B,1957-03,3.9208333346313
